corp,LPERMCO,start_fyear,end_fyear,active,count,min_fyear,max_fyear
"prentice-hall, inc",20859,1984,1994,0,7327,1978,1997
"simon & schuster, inc",20859,1975,1994,0,4231,1983,2020
"cbs worldwide, inc",20859,1975,1994,0,4180,1997,2018
allyn & bacon,20859,1983,1998,0,1767,1988,2008
"prentice-hall, inc, a simon & schuster company",20859,1984,1994,0,1319,1990,1997
"prentice-hall, inc, simon & schuster/a viacom company",20859,1984,1994,0,1190,1995,1999
"prentice-hall, inc, a division of simon & schuster",20859,1984,1994,0,1010,1986,1997
"prentice-hall, inc, a division of simon & schuster, inc.",20859,1984,1994,0,640,1986,1994
"prentice hall, inc, a division of simon & schuster",20859,1984,1994,0,640,1986,1997
"simon & schuster, inc (employer for hire)",20859,1975,1994,0,638,1991,2006
"prentice-hall, inc, a division of simon and schuster",20859,1984,1994,0,633,1986,1991
"prentice-hall, inc, simon & schuster, a viacom company",20859,1984,1994,0,480,1995,1998
prentice hall,20859,1984,1994,0,472,1985,1997
"prentice-hall, a division of simon & schuster, inc",20859,1984,1994,0,436,1986,1992
"prentice-hall, inc, a paramount communications company",20859,1984,1994,0,414,1994,1995
"prentice-hall media, inc",20859,1984,1994,0,362,1978,1985
"prentice hall, inc",20859,1984,1994,0,240,1978,1997
prentice hall law & business,20859,1984,1994,0,154,1988,1995
"prentice-hall, inc (employer for hire)",20859,1984,1994,0,128,1992,1997
"prentice hall, inc, a simon & schuster company",20859,1984,1994,0,118,1991,1997
"â simon & schuster, inc",20859,1975,1994,0,106,1991,2007
"globe fearon, inc, a simon & schuster company (employer for hire)",20859,1975,1994,0,97,1994,1998
"â on performance, sound recording simon & schuster, inc (employer for hire)",20859,1975,1994,0,68,1993,2007
"simon & schuster, a division of gulf & western corporation",20859,1975,1994,0,68,1978,1983
"â on performance & sound recording; simon & schuster, inc (employer for hire)",20859,1975,1994,0,43,1992,2007
"arco publishing, a division of simon & schuster, inc (employer for hire)",20859,1975,1994,0,42,1992,1997
"â on performance, sound recording simon & schuster, inc",20859,1975,1994,0,42,2006,2007
"pocket books, a division of simon & schuster, inc",20859,1975,1994,0,39,1983,2001
"pocket books, a simon & schuster division of gulf & western corporation",20859,1975,1994,0,32,1978,1983
"chek chart publications, h m. gousha, a division of simon & schuster",20859,1975,1994,0,32,1989,1992
"â on performance & recording; simon & schuster, inc",20859,1975,1994,0,31,1991,2007
simon & schuster h. m. gousha,20859,1975,1994,0,30,1992,1992
"simon & schuster, inc.",20859,1975,1994,0,30,2007,2008
"academic press, inc",20879,1969,2000,0,4685,1978,2001
glencoe/mcgraw-hill,21179,1950,2012,0,2365,1990,2009
"tab books, inc",21179,1990,2013,0,1326,1980,1990
twentieth century fox film corporation,21287,1986,2019,0,9128,1993,2013
"speed channel, inc",21287,1995,2013,0,2104,2006,2013
"ngc network international, llc",21287,2014,2019,0,1333,2014,2021
westview press,21287,1991,1998,0,1281,1978,2017
"tommy bahama group, inc",21348,2005,2023,0,1509,2005,2020
pacific bell directory,21357,1984,1997,0,1860,1986,2004
"vera licensing, inc, whose alternate designation is vera",21554,1988,1998,0,1650,1980,1991
"ultra records, llc",21633,2022,2023,0,1798,2013,2021
warner bros entertainment inc.,21645,2018,2022,0,12713,2007,2021
dc comics,21645,2018,2022,0,8850,1990,2021
"home box office, inc",21645,2018,2022,0,5184,1978,2021
"the cartoon network, inc",21645,2018,2022,0,4745,2007,2021
"warner brothers, inc",21645,2018,2022,0,3546,1978,2011
ameritech advertising services,21645,1999,2023,0,2531,1999,2014
southwestern bell telephone company,21645,1984,2023,0,2531,1978,1983
"hanna-barbera productions, inc",21645,2018,2022,0,2015,1978,2017
pacific bell directory,21645,1997,2023,0,1860,1986,2004
"television food network, gp.",21645,2018,2019,0,1324,2009,2019
warner bros entertainment inc.,21756,1964,2001,0,12713,2007,2021
dc comics,21756,1964,2001,0,8850,1990,2021
"home box office, inc",21756,1964,2001,0,5184,1978,2021
"warner brothers, inc",21756,1964,2001,0,3546,1978,2011
belwin-mills publishing corporation,21756,1964,2001,0,3079,1978,2004
hachette,21756,1970,2001,0,2715,1978,1989
"superstation, inc",21756,1997,2001,0,1534,1997,2013
"warner brothers records, inc",21756,1964,1999,0,1353,1978,1999
"richard d irwin, inc.",21757,1988,1995,0,3448,1978,1995
us west direct,21830,1989,1998,0,2087,1989,1998
u s west direct,21830,1984,1997,0,1519,1984,1997
cbs studios inc,21866,2006,2021,0,15843,2006,2021
cbs broadcasting inc,21866,2006,2022,0,10214,2003,2021
"big ticket television, inc",21866,2006,2022,0,8537,1996,2021
"prentice-hall, inc",21866,1994,1998,0,7327,1978,1997
comedy partners,21866,2019,2023,0,6029,1993,2020
comedy partners,21866,1991,2005,0,6029,1993,2020
"simon & schuster, inc",21866,1994,2005,0,4231,1983,2020
"cbs worldwide, inc",21866,1994,2005,0,4180,1997,2018
big ticket television inc,21866,2008,2023,0,2268,2008,2021
"cbs broadcasting, inc",21866,2006,2022,0,2187,1998,2012
"prentice-hall, inc, a simon & schuster company",21866,1994,1998,0,1319,1990,1997
"prentice-hall, inc, simon & schuster/a viacom company",21866,1994,1998,0,1190,1995,1999
"prentice-hall, inc, a division of simon & schuster",21866,1994,1998,0,1010,1986,1997
"prentice-hall, inc, a division of simon & schuster, inc.",21866,1994,1998,0,640,1986,1994
"prentice hall, inc, a division of simon & schuster",21866,1994,1998,0,640,1986,1997
"simon & schuster, inc (employer for hire)",21866,1994,2005,0,638,1991,2006
"prentice-hall, inc, a division of simon and schuster",21866,1994,1998,0,633,1986,1991
"prentice-hall, inc, simon & schuster, a viacom company",21866,1994,1998,0,480,1995,1998
prentice hall,21866,1994,1998,0,472,1985,1997
"prentice-hall, a division of simon & schuster, inc",21866,1994,1998,0,436,1986,1992
"prentice-hall, inc, a paramount communications company",21866,1994,1998,0,414,1994,1995
"prentice-hall media, inc",21866,1994,1998,0,362,1978,1985
"prentice hall, inc",21866,1994,1998,0,240,1978,1997
prentice hall law & business,21866,1994,1998,0,154,1988,1995
"prentice-hall, inc (employer for hire)",21866,1994,1998,0,128,1992,1997
"prentice hall, inc, a simon & schuster company",21866,1994,1998,0,118,1991,1997
"â simon & schuster, inc",21866,1994,2005,0,106,1991,2007
"globe fearon, inc, a simon & schuster company (employer for hire)",21866,1994,2005,0,97,1994,1998
"â on performance, sound recording simon & schuster, inc (employer for hire)",21866,1994,2005,0,68,1993,2007
"simon & schuster, a division of gulf & western corporation",21866,1994,2005,0,68,1978,1983
"â on performance & sound recording; simon & schuster, inc (employer for hire)",21866,1994,2005,0,43,1992,2007
"arco publishing, a division of simon & schuster, inc (employer for hire)",21866,1994,2005,0,42,1992,1997
"â on performance, sound recording simon & schuster, inc",21866,1994,2005,0,42,2006,2007
"pocket books, a division of simon & schuster, inc",21866,1994,2005,0,39,1983,2001
"pocket books, a simon & schuster division of gulf & western corporation",21866,1994,2005,0,32,1978,1983
"chek chart publications, h m. gousha, a division of simon & schuster",21866,1994,2005,0,32,1989,1992
"â on performance & recording; simon & schuster, inc",21866,1994,2005,0,31,1991,2007
simon & schuster h. m. gousha,21866,1994,2005,0,30,1992,1992
"simon & schuster, inc.",21866,1994,2005,0,30,2007,2008
"kaplan, inc",21888,1984,2023,0,3750,2000,2020
cbs broadcasting inc,21912,1950,2000,0,10214,2003,2021
"big ticket television, inc",21912,1996,2000,0,8537,1996,2021
"cbs broadcasting, inc",21912,1950,2000,0,2187,1998,2012
"cbs, inc (employer for hire)",21912,1950,2000,0,1431,1995,2000
"national broadcasting company, inc",22497,1932,1986,0,5192,1978,2004
"random house, inc",22497,1978,1980,0,2585,1978,2010
twentieth century fox film corporation,22559,1950,1981,0,9128,1993,2013
"capitol records, inc",22748,1978,1980,0,1311,1978,2013
"macmillan publishing company, a division of macmillan, inc",23447,1959,1988,0,2250,1983,1994
"g schirmer, inc.",23447,1968,1986,0,1898,1978,2020
"wadsworth, inc",28754,2002,2008,0,3992,1979,1995
"leg, inc d/b/a west academic",28754,2013,2023,0,1519,2013,2021
the lawyers co-operative publishing company,28754,2002,2023,0,1390,1978,1994
"marvel characters, inc",29054,1991,1998,0,2948,1996,2021
"televisa, sa.",30077,1993,2023,0,1324,1988,1992
"midwest importers of cannon falls, inc",30401,2001,2023,0,3664,1982,1993
midwest of cannon falls,30401,2001,2023,0,3344,1993,2002
"harcourt, inc",30486,2001,2007,0,1849,2001,2008
"holt, rinehart and winston",30486,2001,2007,0,1600,1978,2007
psychological corporation,30486,2001,2007,0,1585,1992,2003
w b. saunders company,30486,2001,2007,0,1565,1978,2002
"matthew bender & company, inc",30501,1998,2021,0,19654,1978,2021
"academic press, inc",30501,2000,2023,0,4685,1978,2001
"matthew bender & co, inc.",30501,1998,2021,0,3201,2007,2013
elsevier inc,30501,2015,2023,0,2780,2018,2020
steck-vaughn company (employer for hire),30501,2001,2008,0,1724,1992,2004
"alex esolutions, inc",30501,2013,2023,0,1662,2001,2011
"cole publications, a division of metromail",31669,1996,1998,0,2076,1980,1998
"prentice-hall, inc",39138,2000,2023,0,7327,1978,1997
"addison-wesley publishing company, inc",39138,2000,2023,0,3935,1978,2007
allyn & bacon,39138,2000,2023,0,1767,1988,2008
"prentice-hall, inc, a simon & schuster company",39138,2000,2023,0,1319,1990,1997
"prentice-hall, inc, simon & schuster/a viacom company",39138,2000,2023,0,1190,1995,1999
"prentice-hall, inc, a division of simon & schuster",39138,2000,2023,0,1010,1986,1997
"prentice-hall, inc, a division of simon & schuster, inc.",39138,2000,2023,0,640,1986,1994
"prentice hall, inc, a division of simon & schuster",39138,2000,2023,0,640,1986,1997
"prentice-hall, inc, a division of simon and schuster",39138,2000,2023,0,633,1986,1991
"prentice-hall, inc, simon & schuster, a viacom company",39138,2000,2023,0,480,1995,1998
prentice hall,39138,2000,2023,0,472,1985,1997
"prentice-hall, a division of simon & schuster, inc",39138,2000,2023,0,436,1986,1992
"prentice-hall, inc, a paramount communications company",39138,2000,2023,0,414,1994,1995
"prentice-hall media, inc",39138,2000,2023,0,362,1978,1985
"prentice hall, inc",39138,2000,2023,0,240,1978,1997
prentice hall law & business,39138,2000,2023,0,154,1988,1995
"prentice-hall, inc (employer for hire)",39138,2000,2023,0,128,1992,1997
"prentice hall, inc, a simon & schuster company",39138,2000,2023,0,118,1991,1997
"national broadcasting company, inc",43613,2011,2023,0,5192,1978,2004
"nbc studios, inc",43613,2011,2023,0,4152,2000,2019
"nbc studios, inc (employer for hire)",43613,2011,2023,0,2956,2000,2007
nbc studios llc,43613,2011,2023,0,1600,2011,2016
warner-tamerlane publishing corp,46685,2005,2011,0,6529,2005,2021
warner-tamerlane publishing corp,46685,2020,2023,0,6529,2005,2021
wc music corp,46685,2019,2023,0,1660,2019,2021
comedy partners,50032,2006,2019,0,6029,1993,2020
"simon & schuster, inc",50032,2006,2023,0,4231,1983,2020
"cbs worldwide, inc",50032,2006,2023,0,4180,1997,2018
"simon & schuster, inc (employer for hire)",50032,2006,2023,0,638,1991,2006
"â simon & schuster, inc",50032,2006,2023,0,106,1991,2007
"globe fearon, inc, a simon & schuster company (employer for hire)",50032,2006,2023,0,97,1994,1998
"â on performance, sound recording simon & schuster, inc (employer for hire)",50032,2006,2023,0,68,1993,2007
"simon & schuster, a division of gulf & western corporation",50032,2006,2023,0,68,1978,1983
"â on performance & sound recording; simon & schuster, inc (employer for hire)",50032,2006,2023,0,43,1992,2007
"arco publishing, a division of simon & schuster, inc (employer for hire)",50032,2006,2023,0,42,1992,1997
"â on performance, sound recording simon & schuster, inc",50032,2006,2023,0,42,2006,2007
"pocket books, a division of simon & schuster, inc",50032,2006,2023,0,39,1983,2001
"pocket books, a simon & schuster division of gulf & western corporation",50032,2006,2023,0,32,1978,1983
"chek chart publications, h m. gousha, a division of simon & schuster",50032,2006,2023,0,32,1989,1992
"â on performance & recording; simon & schuster, inc",50032,2006,2023,0,31,1991,2007
simon & schuster h. m. gousha,50032,2006,2023,0,30,1992,1992
"simon & schuster, inc.",50032,2006,2023,0,30,2007,2008
"television food network, gp.",53039,1998,2018,0,1324,2009,2019
"lyndacom, inc.",53751,2015,2016,0,3060,2004,2015
supermedia llc,54409,2013,2016,0,3657,2013,2016
cutler media llc,56350,2019,2023,0,2860,2017,2020
"pluralsight, llc",56353,2018,2021,0,2135,2011,2021
warner bros entertainment inc.,59247,2022,2023,0,12713,2007,2021
dc comics,59247,2022,2023,0,8850,1990,2021
"home box office, inc",59247,2022,2023,0,5184,1978,2021
"the cartoon network, inc",59247,2022,2023,0,4745,2007,2021
"warner brothers, inc",59247,2022,2023,0,3546,1978,2011
"hanna-barbera productions, inc",59247,2022,2023,0,2015,1978,2017
astm international,na,,,0,28324,2004,2021
"charles komar & sons, inc",na,,,0,22142,1994,2021
"sunbury textile mills, inc",na,,,0,13323,1984,2017
ieee,na,,,0,12657,1999,2016
"dreamroom productions, inc",na,,,0,11848,2004,2020
bmg rights management (us) llc,na,,,0,11292,2010,2021
mg premium ltd,na,,,0,11108,2014,2021
taylor and francis,na,,,0,10541,1992,2021
"oxford university press, inc",na,,,0,10227,1978,2012
educational testing service,na,,,0,8680,1978,2021
weave corporation,na,,,0,8517,1983,2009
united design corporation,na,,,0,8092,1988,2004
"evox productions, llc",na,,,0,8080,2004,2018
oxford university press usa,na,,,0,7792,2012,2020
"la touraine, inc",na,,,0,7599,2010,2021
concordia publishing house,na,,,0,7592,1978,2020
practising law institute,na,,,0,7239,1978,2020
tianhai lace usa inc,na,,,0,6972,2007,2021
kendall/hunt publishing company,na,,,0,6861,1978,2009
kendall/hunt publishing company,na,,,0,6861,1978,2009
kendall/hunt publishing company,na,,,0,6861,1978,2009
kendall/hunt publishing company,na,,,0,6861,1978,2009
princeton university press,na,,,0,6759,1978,2021
"tianhai lace co,ltd.",na,,,0,6622,2009,2021
"star fabrics, inc",na,,,0,6410,1996,2021
tianhai lace (guangdong) ltd,na,,,0,6219,2010,2021
"valdese weavers, inc",na,,,0,6113,1980,2004
president and fellows of harvard college,na,,,0,6027,1978,2021
"sage publications, inc",na,,,0,5984,1978,2021
"springer science+business media, llc",na,,,0,5683,2006,2018
"bangbroscom, inc.",na,,,0,5654,2009,2016
hoffman california fabrics,na,,,0,5606,1981,2021
"national council on compensation insurance, inc",na,,,0,5343,1993,2021
"vivid video, inc",na,,,0,5279,1984,2003
broadman press,na,,,0,5212,1978,2019
"bill graham archives, llc",na,,,0,5132,2004,2019
manwin content rk limited,na,,,0,5013,2012,2015
richloom fabrics group,na,,,0,4842,1993,2021
"publications international, ltd",na,,,0,4828,1978,2020
"samsung c&t america, inc",na,,,0,4823,2011,2020
"korean television enterprises, ltd",na,,,0,4758,1984,2004
"gund, inc",na,,,0,4705,1978,2008
peter lang publishing,na,,,0,4695,1983,2017
the american society of mechanical engineers,na,,,0,4684,1978,2021
massachusetts institute of technology,na,,,0,4647,1978,2021
"cengage learning, inc",na,,,0,4583,2008,2021
"christian broadcasting network, inc",na,,,0,4564,1988,2021
mg content rk limited,na,,,0,4491,2015,2018
"farm & home publishers, ltd",na,,,0,4455,1987,2003
"daytrotter media, llc",na,,,0,4449,2010,2017
"marcel dekker, inc",na,,,0,4283,1978,2004
hal leonard corporation,na,,,0,4259,1987,2021
bs lace limited,na,,,0,4225,2010,2021
"channing l bete company, inc.",na,,,0,4224,1978,2001
"franco manufacturing company, inc",na,,,0,4217,1979,2007
yale university,na,,,0,4131,1978,2021
ganz,na,,,0,4130,1994,2018
regents of the university of california,na,,,0,4121,1978,2021
recorded books,na,,,0,4120,1982,2020
"printmaker international, ltd",na,,,0,4073,1984,2010
taylor & francis,na,,,0,4036,1989,2021
"institute of electrical and electronics engineers, inc",na,,,0,3958,1978,2020
society of photo-optical instrumentation engineers (employer for hire),na,,,0,3938,1992,2005
kendall hunt publishing company,na,,,0,3931,1989,2021
"pga tour, inc",na,,,0,3911,1989,2021
cch incorporated,na,,,0,3855,2004,2020
lakeshore equipment company,na,,,0,3820,2002,2020
springer-verlag,na,,,0,3813,1978,2020
cornell university,na,,,0,3765,1978,2021
lexington books,na,,,0,3723,1988,2020
"greenleaf classics, inc",na,,,0,3600,1978,1988
milliken & company,na,,,0,3548,1978,2015
recorded books llc,na,,,0,3531,2007,2014
south-western publishing company,na,,,0,3514,1978,2007
the university of chicago,na,,,0,3514,1978,2021
"j j. keller & associates, inc.",na,,,0,3508,1978,2021
new creative enterprises,na,,,0,3495,1985,2002
augsburg fortress,na,,,0,3474,1989,2019
"peter pan fabrics, inc",na,,,0,3472,1978,1996
"the christian broadcasting network, inc",na,,,0,3453,1988,2021
"dramatic creations, inc",na,,,0,3453,1983,1997
"barrons educational series, inc",na,,,0,3339,1978,2019
columbia university press,na,,,0,3323,1978,2020
linked ventures ag,na,,,0,3300,2017,2021
"mel bay publications, inc",na,,,0,3254,1978,2020
"aurora world,inc",na,,,0,3236,2008,2021
"worldwide pants, inc",na,,,0,3234,1993,2010
national geographic society,na,,,0,3157,1978,2019
"riddle & cockrell, inc",na,,,0,3153,1997,2000
"samsung america, inc",na,,,0,3152,1994,2010
american bar association,na,,,0,3137,1978,2021
"arthur rutenberg homes, inc",na,,,0,3071,1991,2019
"giftco, inc",na,,,0,3051,1980,2008
nfl productions llc,na,,,0,3043,2007,2021
church of spiritual technology,na,,,0,3038,1994,2020
sunbury textile mills inc,na,,,0,2988,2005,2014
"the echo design group, inc",na,,,0,2986,1985,2021
worldwide pants incorporated,na,,,0,2976,2000,2015
university press of america,na,,,0,2956,1978,2015
wgbh educational foundation,na,,,0,2918,1986,2021
kluwer academic publishers,na,,,0,2909,1984,2006
abingdon press,na,,,0,2901,1979,2017
"lerner publishing group, inc",na,,,0,2896,2007,2020
"dan chase taxidermy supply company, inc",na,,,0,2886,1995,2002
"vca labs, inc",na,,,0,2881,1989,2005
"television broadcasts, ltd",na,,,0,2881,1982,2006
"channing bete company, inc",na,,,0,2863,1994,2017
american society of clinical pathologists,na,,,0,2857,1978,2002
neil a kjos music company,na,,,0,2845,1978,2019
"ngc network us, llc",na,,,0,2840,2011,2021
watch tower bible and tract society of pennsylvania,na,,,0,2821,1978,2021
duke university press,na,,,0,2807,1978,2020
"blue mountain arts, inc",na,,,0,2788,1979,2020
american mathematical society,na,,,0,2788,1978,2020
"hang gang textile co, ltd.",na,,,0,2779,2012,2021
kbs america,na,,,0,2776,2005,2017
cengage learning inc,na,,,0,2772,2008,2019
"university press of america, inc",na,,,0,2720,1980,2017
"peteski productions, inc",na,,,0,2715,2006,2021
college entrance examination board,na,,,0,2661,1978,2010
"oriental weavers usa, inc",na,,,0,2658,1995,2020
"scafa-tornabene art publishing company, inc",na,,,0,2658,1978,1998
"haines & company, inc",na,,,0,2615,1978,2012
oxford university press,na,,,0,2592,1978,2020
"dreamscape media, llc",na,,,0,2591,2010,2020
froytal services limited dba brazzers,na,,,0,2588,2013,2014
"sullivan paper company, inc",na,,,0,2566,1994,2021
"hampton print works, inc",na,,,0,2538,1978,1998
"stage 29 productions, llc",na,,,0,2528,2009,2021
state university of new york,na,,,0,2515,1978,2019
meridian textiles,na,,,0,2504,2002,2013
the american law institute,na,,,0,2493,1978,2020
"liberty fabrics, inc",na,,,0,2493,1987,2001
"international audio-visual communications, inc",na,,,0,2486,1982,1998
hal leonard publishing corporation,na,,,0,2483,1978,1998
"peermusic iii, ltd",na,,,0,2469,1996,2021
"joan baker designs, inc",na,,,0,2446,1995,2008
"katherines collection, inc",na,,,0,2422,1999,2009
"robert kaufman company, inc",na,,,0,2418,1992,2007
the regents of the university of california,na,,,0,2403,1978,2021
cybernet entertainment llc,na,,,0,2398,2011,2012
new york university,na,,,0,2377,1978,2021
hoffman california international fabrics,na,,,0,2368,1996,2007
birch island music press,na,,,0,2348,1978,2020
university of chicago,na,,,0,2322,1978,2020
"group publishing, inc",na,,,0,2320,1990,2021
editions gallimard,na,,,0,2294,1978,2020
"vanness press, inc",na,,,0,2282,1983,2005
university of california regents,na,,,0,2275,1992,2007
"aurora world, inc",na,,,0,2266,2002,2021
associated sales & bag company,na,,,0,2248,1999,2016
american petroleum institute,na,,,0,2245,1978,2019
"springer-verlag new york, inc",na,,,0,2208,1978,2004
rand mcnally,na,,,0,2194,1993,2007
southern music company,na,,,0,2180,1978,2006
"books on tape, inc",na,,,0,2179,1978,2012
united states sales corporation,na,,,0,2179,1985,1994
university of texas press,na,,,0,2171,1978,2021
"bangkok broadcasting & tv. co., ltd.",na,,,0,2168,2012,2017
national fire protection association,na,,,0,2165,1978,2021
american law institute,na,,,0,2159,1978,2014
"hi-fashion fabrics, inc",na,,,0,2157,1985,2004
denmoss inc,na,,,0,2145,2008,2021
united nations,na,,,0,2142,1978,2017
the johns hopkins university press,na,,,0,2128,1978,2016
"mbc broadcasting, inc",na,,,0,2123,2007,2020
"john kaldor fabricmaker, pty ltd.",na,,,0,2119,1990,2003
macmillan audio,na,,,0,2117,2008,2021
"rowman & littlefield publishers, inc",na,,,0,2115,1989,2018
routledge,na,,,0,2114,1988,2021
the president and fellows of harvard college,na,,,0,2104,1978,2019
"gale, a part of cengage learning",na,,,0,2076,2008,2014
american society of mechanical engineers,na,,,0,2072,1978,2021
"swarm interactive, inc",na,,,0,2047,2005,2019
university of pennsylvania press,na,,,0,2047,1979,2020
"aspen publishers, inc",na,,,0,2044,1986,2011
carolina biological supply company,na,,,0,2039,1978,2016
harvard university president and fellows of harvard college,na,,,0,2035,1990,2007
university of north carolina press,na,,,0,2033,1981,2021
"nfl films, inc",na,,,0,2030,1989,1999
"mud pie, llc",na,,,0,2025,2014,2021
"red international textiles, inc",na,,,0,2008,2000,2007
"c-p company, inc",na,,,0,2005,1990,2007
"the rowman & littlefield publishing group, inc",na,,,0,2001,2005,2020
"mbc distribution, inc",na,,,0,1981,2007,2020
american water works association,na,,,0,1979,1978,2021
matrix international textile inc,na,,,0,1977,2013,2020
"cch, inc",na,,,0,1961,1994,2013
"rosen publishing group, inc (employer for hire)",na,,,0,1958,1993,2004
american institute of certified public accountants,na,,,0,1957,1978,2020
zz fashion dba daniel rainn,na,,,0,1953,2015,2021
"rk netmedia, inc",na,,,0,1950,2008,2012
"lunch at the ritz earwear, inc",na,,,0,1947,1989,2001
"lemax, inc",na,,,0,1940,1994,2021
"bugle boy industries, inc",na,,,0,1940,1989,2000
"twos company, inc",na,,,0,1933,1979,2009
"ganz, an ontario partnership",na,,,0,1923,2007,2019
joe boxer corporation,na,,,0,1909,1991,1998
the pokemon company international,na,,,0,1899,2009,2019
jones & bartlett learning llc,na,,,0,1895,2010,2021
"university of phoenix, inc",na,,,0,1880,1994,2021
johns hopkins university press,na,,,0,1868,1979,2021
"the institute of electrical and electronics engineers, inc",na,,,0,1860,1978,2020
"melissa & doug, llc",na,,,0,1856,2006,2021
"at last sportswear, inc",na,,,0,1853,1990,1999
"cbt nuggets, llc",na,,,0,1847,2006,2021
"shawnee press, inc",na,,,0,1837,1978,2009
twos company,na,,,0,1835,1979,2020
"figi graphics, inc",na,,,0,1823,1990,2003
regular baptist press,na,,,0,1816,1978,2020
"grhk, llc",na,,,0,1801,2011,2016
"goodman knitting company, inc",na,,,0,1800,1991,1998
state university of new york press,na,,,0,1792,1978,2020
"msr imports, inc",na,,,0,1790,1989,2015
unicolors inc,na,,,0,1788,2011,2021
peer international corporation,na,,,0,1786,1978,2020
wolters kluwer health,na,,,0,1786,2003,2021
"worldwide pants, inc (employer for hire)",na,,,0,1780,1993,2007
"xiamen fashion knitting co, ltd.",na,,,0,1779,2013,2021
"crc press, llc (employer for hire)",na,,,0,1768,1997,2005
rowman & littlefield,na,,,0,1768,1982,2020
sas institute inc,na,,,0,1764,2004,2021
"personal stamp exchange, inc",na,,,0,1758,1994,1998
us textile printing inc,na,,,0,1750,2007,2015
american bankers association,na,,,0,1739,1978,2021
champion map corporation,na,,,0,1737,1978,1992
"avanti press, inc",na,,,0,1737,1992,2020
"haddads fine arts, inc",na,,,0,1730,1980,1999
munhwa broadcasting corporation db.a. mbc america,na,,,0,1727,1992,1997
yp intellectual property llc,na,,,0,1725,2014,2017
sei hoi holdings (hk.) limited.,na,,,0,1718,2009,2014
american psychological association,na,,,0,1714,1980,2020
