company,label,n,min_tapeyear,max_tapeyear,words
"ZUFFA, LLC",organization,66,2009,2099,2
"A,B,C",organization,52,1992,1996,1
MICROSOFT,organization,52,1993,2017,1
ABC,organization,44,1989,2009,1
FORTUNE,organization,40,2003,2099,1
"METRO-GOLDWYN-MAYER, ET AL",organization,39,1993,2010,3
"RODSONGS, ET AL",organization,33,1991,2020,3
A.B.C.,organization,29,1995,1999,1
"ABC, ET AL",organization,20,2008,2099,3
"REALSONGS, ET AL",organization,20,1991,2011,3
"ELEKTRA, ET AL",organization,19,2004,2008,3
DISNEY ENT INC,organization,17,1997,2000,3
"BROADCAST MUSIC, INC.;",organization,13,1990,1992,3
FASHION-IN-PRINTS,organization,7,1994,2001,1
LICKERISH LTD.,organization,6,2014,2099,2
"LIDA, INC.",organization,6,1991,1994,2
LUCASFILM LTD,organization,6,1990,2006,2
LUCASFILM LTD.,organization,6,1991,2006,2
"MAY, GEORGE",organization,6,1996,2000,2
MCA TELEVISION,organization,6,1992,2000,2
"METRO-GOLDWYN-MAYER PICTURES,",organization,6,1991,2005,2
NISUS CORPORATION,organization,6,2009,2011,2
"P/KAUFMANN, INC.",organization,6,1994,1997,2
"PEM-AMERICA, INC.",organization,6,2004,2010,2
"PHE, INC.",organization,6,2013,2014,2
QAD INC,organization,6,1991,2019,2
SANDICAST INC,organization,6,1988,2000,2
BROADCAST,organization,5,1988,1989,1
EDMARK INDUSTRIES,organization,5,1997,2001,2
ELLISON EDUCATIONAL,organization,5,1994,2005,2
GELB PROMOTIONS,organization,5,1993,1995,2
GREENFUND MUSIC,organization,5,2004,2008,2
HARRIS INDUSTRIES,organization,5,1989,1999,2
JAMES AVERY,organization,5,1992,2004,2
JOBETE MUSIC,organization,5,1988,1989,2
"KAPLAN, INC.",organization,5,2007,2011,2
"KEPNER-TREGOE, INC.",organization,5,1988,2000,2
LACERTE SOFTWARE,organization,5,1996,2003,2
LANZ INC,organization,5,1992,1994,2
LUMISOURCE INC,organization,5,2001,2005,2
"MCA, INC.",organization,5,1990,1993,2
NATIONAL FOOTBALL,organization,5,1995,2001,2
"NOVELTY, INC.",organization,5,1999,2010,2
PURE SONGS,organization,5,1989,2004,2
QUEENIE LTD.,organization,5,1997,2006,2
SEXSEA INC,organization,4,2001,2002,2
SOHK SPORTSWEAR,organization,4,2003,2004,2
SONY COMPUTER,organization,4,1998,1999,2
SPATIAL CORP.,organization,4,2003,2005,2
SPEAKERCRAFT LLC,organization,4,2012,2013,2
"SPOONTIQUES, INC.",organization,4,1995,2000,2
"STOCKART.COM, LLC",organization,4,2003,2006,2
STYGIAN SONGS,organization,4,1990,2008,2
"VISBEEN ASSOCIATES, INC.",organization,4,2007,2011,3
"WARNER BROS, INC.",organization,4,1988,2007,3
WARNER BROS. INC.,organization,4,1990,1994,3
"ROTOPLAY, INC.",organization,3,2006,2006,2
SABAL MUSIC,organization,3,1988,1988,2
SAENGER ORGANIZATION,organization,3,1996,2002,2
SAFEAIR INC,organization,3,2002,2012,2
SAWYER LESTER,organization,3,2005,2005,2
SCHWARTZ-LIEBMAN TEXTILE,organization,3,1988,1989,2
"SHARPSHOOTERS INC.,",organization,3,1991,1992,2
SIGNATURE HOMES,organization,3,2000,2007,2
SILVERTREE INC,organization,3,1993,1999,2
SIMPLEVILLE MUSIC,organization,3,2005,2006,2
SMILE INTERNATIONAL,organization,3,1991,1992,2
SMITHKLINE BEECHAM,organization,3,1998,2001,2
"SMOKO, INC.",organization,3,2017,2018,2
SNUG MUSIC,organization,3,1989,1994,2
COMEDY PARTNERS,organization,2,1999,2001,2
"F. SCHUMACHER & CO., ET AL",organization,2,1995,1995,6
"FATHERS & DAUGHTERS NEV, ET AL",organization,2,2017,2018,6
"THE REYNOLDS AND REYNOL, ET AL",organization,2,2016,2017,6
"THE RICHARD AVEDON FOUN, ET AL",organization,2,2014,2016,6
"THE WALT DISNEY COMP, ET AL",organization,2,1992,1992,6
"THE WAVE STUDIO, LLC, ET AL",organization,2,2018,2018,6
"EDWIN H. MORRIS & CO, ET AL",organization,2,1992,1992,7
"THE ORIGINAL LOG CABIN , ET AL",organization,2,2008,2008,7
"UNIVERSAL MUSIC MGB NA , ET AL",organization,2,2018,2020,7
"VAN CLEEF & ARPELS S.A., ET AL",organization,2,2008,2016,7
1974 MUSIC,organization,1,2007,2007,2
!K7 RECORDS GMBH,organization,1,2017,2017,3
"""FITZGERALD PUBLISHING CO""",organization,1,1988,1988,3
"""M"" PRODUCTIONS, INC.",organization,1,2006,2006,3
"1729172 ONTARIO, INC.",organization,1,2017,2017,3
"18 NUTRITION, INC.",organization,1,2015,2015,3
180 SKILLS LLC,organization,1,2016,2016,3
"""BECAUSE WE CARE"" MINISTRIES",organization,1,2012,2012,4
"18TH AVENUE TOYS, LTD",organization,1,2016,2016,4
"CHRISTOPHER & BANKS COR, ET AL",organization,1,2011,2011,6
"CHRYSALIS MUSIC GROUP, , ET AL",organization,1,2010,2010,6
"CHURCH OF THE MOVE, ET AL",organization,1,1995,1995,6
"COMMITTEE FOR GROUND ZE, ET AL",organization,1,2013,2013,6
"COMMUNITY OF CHRIST COP, ET AL",organization,1,2009,2009,6
"JAM ""N"" BREAD MUSIC, ET AL",organization,1,2002,2002,6
"JAM 'N' BREAD MUSIC, ET AL",organization,1,2000,2000,6
"JAZZ BIRD MUSIC, WB MUSIC CORP",organization,1,1991,1991,6
"LORIMAR MUSIC A. C., ET AL",organization,1,1990,1990,6
"LORRAINE E. SCHWARTZ, I, ET AL",organization,1,2012,2012,6
"PRIORITY RECORDS,  L. L. C.",organization,1,2007,2007,6
"PRISM VIDEO GROUP, INC., ET AL",organization,1,2010,2010,6
"PRO MUSIC RIGHTS, LLC, ET AL",organization,1,2021,2021,6
"PRO TEX TRAINING, IN, ET AL",organization,1,1995,1995,6
"Q AND SHU GLOBAL INDUSTRIES, L",organization,1,2021,2021,6
"Q DESIGN GROUP, LTD, ET AL",organization,1,2000,2000,6
"RADIO TELEVISION OF SER, ET AL",organization,1,2019,2019,6
"RAG AMER COAL HLDG, ET AL",organization,1,2004,2004,6
"SINCLAIR L.D. JOHNSON I, ET AL",organization,1,2010,2010,6
SIR & TRINI MUSIC ET AL,organization,1,1989,1989,6
"SONY ATV TUNES LLC, ET AL",organization,1,2010,2010,6
"SONY MUSIC ENT. INC., ET AL",organization,1,2002,2002,6
"SOOS & ASSOCIATES, INC., ET AL",organization,1,2021,2021,6
"SPARKMAN & STEPHENS HOL, ET AL",organization,1,2099,2099,6
"SPIGEN KOREA CO., LTD., ET AL",organization,1,2016,2016,6
"J ALBERT & SON INC, ET AL",organization,1,2012,2012,7
"J. ALBERT & SON INC, ET AL",organization,1,1993,1993,7
"J. ALBERT & SON INC., ET AL",organization,1,1992,1992,7
"LIVE FACE ON WEB LLC, ET AL",organization,1,2018,2018,7
"LIVE FACE ON WEB, LLC, A PENNS",organization,1,2016,2016,7
"LIVE FACE ON WEBB, LLC, ET AL",organization,1,2018,2018,7
"WALLACE CHURCH & CO. IN, ET AL",organization,1,2099,2099,7
"WARNER BROS.  RECORDS I, ET AL",organization,1,2010,2010,7
"WINGS OF DREAMS, INC. , ET AL",organization,1,2017,2017,7
"WORLD WIDE DATA LINK IN, ET AL",organization,1,2014,2014,7
"YOURS, MINE AND OURS MU, ET AL",organization,1,2018,2018,7
"BMG MUSIC, A NEW YORK G, ET AL",organization,1,2007,2007,8
"BMG/EDIM S A DE C V, ET AL",organization,1,1998,1998,8
"GLACIER FILMS (U S A) I, ET AL",organization,1,2018,2018,8
"J. ALBERT & SON (USA), , ET AL",organization,1,2010,2010,8
"LOCK & KEY PORTRAITS & , ET AL",organization,1,2099,2099,8
RICHCAR MUSIC CORP,organization,1,1991,1991,3
"RILTING MUSIC, INC.",organization,1,1989,1989,3
"RIMAS ENTERTAINMENT, LLC",organization,1,2021,2021,3
RING SPECIALTY CO.,organization,1,1996,1996,3
"RINGDAHL ARCHITECTS, INC.",organization,1,2018,2018,3
"RISKTIMETRY ANALYTICS, LLC",organization,1,2012,2012,3
RITEWAY HALUSKA PRINTERS,organization,1,1988,1988,3
RIVER CITY STUDIO,organization,1,2007,2007,3
RIVER ENT LIMITED,organization,1,1999,1999,3
RIVER LOGIC INC,organization,1,2013,2013,3
"RMC PROJECT MANAGEMENT, INC.",organization,1,2005,2005,4
"RMS INTERNATIONAL (USA), INC.",organization,1,2020,2020,4
RMS INTERNATIONAL USA INC,organization,1,2020,2020,4
SOLENGO CAPITAL ADVISORS ULC,organization,1,2007,2007,4
"SOLID OAK SKETCHES, LLC",organization,1,2020,2020,4
SOLO CUP OPERATING CORPORATION,organization,1,2020,2020,4
"SOLPOWER CORPORATION, ET AL",organization,1,2001,2001,4
"SOLUTIONS IN HAND, INC.",organization,1,2004,2004,4
SOMEREST SONGS PUBLISHING I,organization,1,1988,1988,4
SOMERSET SONGS PUB ETAL,organization,1,1989,1989,4
SOMERSET SONGS PUB INC,organization,1,1988,1988,4
THE DAVID GEFFEN CO.,organization,1,1991,1991,4
THE DBT GRP INC,organization,1,2002,2002,4
"THE DIAMOND COLLECTION, LLC",organization,1,2099,2099,4
THE DONNA KARAN CO.,organization,1,1996,1996,4
"UMG RECORDINGS , INC.",organization,1,2005,2005,4
"UMG RECORDINGS, INC.ET AL",organization,1,2005,2005,4
"UMG RECORDINGS,INC., ET AL",organization,1,2009,2009,4
"WARNER BROS. ENTERRAINMENT, IN",organization,1,2006,2006,4
WARNER BROS. RECORD INC.,organization,1,2008,2008,4
"WARNER BROS. RECORDING, INC.",organization,1,2007,2007,4
WARNER BROS. REOCRDS INC.,organization,1,2007,2007,4
"WARNER BROS.,, ET AL",organization,1,1997,1997,4
"ASSET VISION LLC, ET AL",organization,1,2014,2014,5
"ASSOCIATED SALES INC, ET AL",organization,1,1996,1996,5
"ASSOCIATES COMM CORP, ET AL",organization,1,2002,2002,5
"ASSOCIATION FOR INFORMA, ET AL",organization,1,2013,2013,5
"ASTOR CHOCOLATE CORP., ET AL",organization,1,2011,2011,5
"ASTRO SYSTEM JAPAN, CO., LTD.",organization,1,2009,2009,5
"ASTROSYS INTL LTD, ET AL",organization,1,2003,2003,5
"CRYSTAL LANDS, LLC, ET AL",organization,1,2015,2015,5
"CRYSTAL SKY LLC, ET AL",organization,1,2002,2002,5
"CSA IMAGES, INC., ET AL",organization,1,2009,2009,5
"CSDC SYSTEMS, INC., ET AL",organization,1,2012,2012,5
"CSM INVESTORS, INC., ET AL",organization,1,1994,1994,5
"CT CORP SYST, ET AL",organization,1,2005,2005,5
"CT MATUZAS INC, ET AL",organization,1,2004,2004,5
"CTA PUB RELATIONS, ET AL",organization,1,2005,2005,5
"SOMERSET SONGS PUBLISHI, ET AL",organization,1,2009,2009,5
"SONY ATV HARMONY, ET AL",organization,1,2009,2009,5
SONY BMG MUSIC ENTERTAINMENT E,organization,1,2008,2008,5
SONY MUSIC ENTERTAINMENT  INC.,organization,1,2005,2005,5
SEAL,other,348,1988,2004,1
SEALED,other,238,1988,2099,1
-8,other,103,1991,2021,1
"SEALED, ET AL",other,87,1992,2003,3
SUPPRESSED,other,49,1991,2004,1
SEALED CASE,other,11,1991,1993,2
SEALED MATTER,other,10,1992,1996,2
SEALED I,other,9,1991,1997,2
DOE (SEALED),other,7,1991,1996,2
.,other,6,1988,1991,1
UNKNOWN PLAINTIFF,other,6,2015,2019,2
***(SEALED CASE)***,other,4,1991,1991,2
SEALED 1,other,4,1990,2002,2
SEALED PLA,other,4,1998,1999,2
"""SEALED MATTER""",other,1,1992,1992,2
**SEALED CASE***,other,1,1992,1992,2
//ALL PLAINTIFFS//,other,1,2006,2006,2
PARTY X     (SEALED),other,1,2005,2005,7
BELL,person,157,1988,2099,1
PHILPOT,person,151,1994,2099,1
SADOWSKI,person,128,2001,2099,1
JOHNSON,person,116,1989,2099,1
STROSS,person,107,2013,2099,1
SMITH,person,104,1989,2099,1
OPPENHEIMER,person,93,2012,2099,1
MILLER,person,82,1988,2099,1
SANDS,person,76,2016,2099,1
TOMELLERI,person,73,1998,2099,1
BOWERS,person,65,2017,2099,1
YANG,person,62,2004,2021,1
WILD,person,59,2011,2099,1
HIRSCH,person,58,2001,2099,1
ROSEN,person,55,1999,2099,1
HOWARTH,person,53,2004,2099,1
JACKSON,person,53,1988,2099,1
DAVIS,person,52,1988,2099,1
HARRINGTON,person,52,2002,2099,1
MYERESS,person,52,2017,2099,1
SEIDMAN,person,51,2003,2099,1
DURANT,person,49,2015,2021,1
REIFFER,person,48,2018,2099,1
TYLOR,person,46,2013,2099,1
JONES,person,45,1988,2021,1
CHEVRESTT,person,44,2016,2021,1
WILLIAMS,person,44,1988,2099,1
GOLDMAN,person,43,1997,2020,1
VERCH,person,42,2018,2099,1
BROWN,person,39,1988,2020,1
DERMANSKY,person,39,2017,2099,1
KELLY,person,39,1991,2099,1
MCDERMOTT,person,39,1988,2099,1
WRIGHT,person,39,1989,2099,1
WHITE,person,37,1988,2099,1
ZLOZOWER,person,37,2012,2099,1
ANDERSON,person,36,1988,2099,1
HARBUS,person,35,2016,2099,1
TABAK,person,35,2017,2099,1
WATKINS,person,35,1992,2016,1
ROBINSON,person,34,1994,2099,1
THOMAS,person,34,1989,2020,1
MARTINKA,person,33,2014,2099,1
MITCHELL,person,33,1988,2021,1
BASS,person,32,2013,2021,1
CLARK,person,32,1991,2099,1
CORSON,person,31,2016,2099,1
WARD,person,31,1988,2099,1
MOORE,person,30,1992,2019,1
WERNER,person,30,2003,2099,1
WOLMAN,person,30,2017,2099,1
CAMPBELL,person,29,1989,2099,1
GRANGER,person,29,2007,2015,1
WHITEHEAD,person,29,1996,2019,1
MCGLYNN,person,28,2017,2099,1
PERRY,person,28,1995,2014,1
WILSON,person,28,1989,2099,1
WISSER,person,28,2005,2099,1
BAKER,person,27,1994,2099,1
MARSHALL,person,27,1989,2020,1
RICE,person,27,1998,2099,1
HARRIS,person,26,1989,2018,1
PETERSON,person,26,1995,2099,1
FARRINGTON,person,25,2017,2099,1
PROKOS,person,25,2018,2099,1
EMANUELE,person,24,2017,2099,1
GORDON,person,24,1996,2099,1
PARISIENNE,person,24,2017,2099,1
FRIEDMAN,person,23,1988,2020,1
GLYNN,person,23,2017,2099,1
MARTIN,person,23,1995,2099,1
ROBERTS,person,23,1988,2099,1
SCOTT,person,23,1989,2021,1
"OPPENHEIMER, ET AL",person,23,2014,2020,3
KENNEDY,person,22,1988,2021,1
LEE,person,22,1991,2099,1
PIERSON,person,22,2013,2099,1
BIGGS,person,21,1994,2016,1
BOFFOLI,person,21,2013,2099,1
GRAY,person,21,1996,2018,1
MANGO,person,21,2017,2021,1
THOMPSON,person,21,1988,2020,1
AYIOMAMITIS,person,20,2018,2099,1
CRAIG,person,20,1995,2020,1
MORRIS,person,20,1992,2099,1
SCHWARTZ-LIEBMAN,person,20,1992,1996,1
STEVENS,person,20,1990,2020,1
"JOHNSON, ET AL",person,19,1995,2017,3
BACHNER,person,19,2017,2099,1
BENNETT,person,18,1989,2020,1
CAMPINHA-BACOTE,person,18,2010,2020,1
"JAMES, ET AL",person,17,1995,2015,3
"WILLIAMS, ET AL",person,16,1992,2019,3
"DAVIS, ET AL",person,15,1994,2099,3
"GREENBERG, ET AL",person,15,1992,2019,3
"BROWN, ET AL",person,14,1992,2020,3
"JONES, ET AL",person,13,1992,2099,3
MCCARTHY,person,9,1988,2007,1
MESSERSCHMIDT,person,9,2017,2020,1
MILLS,person,9,1992,2021,1
O'NEIL,person,9,1989,2099,1
PARK,person,9,2000,2020,1
POPARIC,person,9,2006,2010,1
REYNOLDS,person,9,1996,2099,1
RODSONGS,person,9,1993,2007,1
RUDKOWSKI,person,9,2017,2020,1
SEFTON,person,9,1998,2003,1
SHAPIRO,person,9,1999,2021,1
REED,person,8,1988,2019,1
ROETHLISBERGER,person,8,2019,2099,1
RUSSELL,person,8,1989,2099,1
SCHMIDT,person,8,1994,2020,1
SCHMITMAN,person,8,2018,2099,1
SCHNEIDER,person,8,1994,2015,1
"SEALED,",person,8,1991,1992,1
SHELL,person,8,2002,2018,1
STOLARIK,person,8,2017,2019,1
STRAUS,person,8,1995,2007,1
SUTTON,person,8,1993,2003,1
TROIANI,person,8,1997,2008,1
WARREN,person,8,2004,2020,1
WOHR,person,8,2019,2021,1
WU,person,8,2013,2020,1
ALCORN,person,7,2018,2020,1
AU,person,7,2020,2099,1
BARRY,person,7,1988,2016,1
BEAN,person,7,2008,2015,1
BOESEN,person,7,2020,2099,1
BOOT,person,7,2018,2020,1
BROOKS-NGWENYA,person,7,2006,2017,1
WAKEFIELD,person,5,2007,2018,1
WARNER,person,5,1989,2014,1
WASHINGTON,person,5,2002,2099,1
WEBSTER,person,5,1994,2020,1
WESTMORELAND,person,5,2009,2021,1
WINN,person,5,2017,2019,1
WOLF,person,5,1993,2099,1
YATES,person,5,1996,2017,1
YUE,person,5,2008,2017,1
ZANGER,person,5,1992,2012,1
"DOE, JOHN",person,5,1990,1992,2
BECHLER,person,4,2017,2099,1
BECKER,person,4,1998,2020,1
BEGLEITER,person,4,2018,2021,1
BORROWS,person,4,2016,2017,1
BOYLE,person,4,1990,2099,1
BRUE,person,4,1998,1998,1
BUCHANAN,person,4,2002,2020,1
BUGENHAGEN,person,4,1993,1996,1
BURGIN,person,4,2010,2014,1
"GIBSON, ET AL",person,4,1991,2012,3
"PINA, ET AL",person,4,1999,2019,3
"SHERIDAN, ET AL",person,4,2017,2021,3
"WAYE, ET AL",person,4,1993,1995,3
"WEST, ET AL",person,4,1998,2014,3
"YOUNG, ET AL",person,4,1995,2015,3
"ARMSTRONG, ET AL",person,3,2000,2008,3
"BALLARD, ET AL",person,3,1998,2011,3
"BELVIN, ET AL",person,3,1994,2012,3
"BERRY, ET AL",person,3,1995,2019,3
"BOND, ET AL",person,3,1995,2004,3
"BORGE, ET AL",person,3,1992,1993,3
"BUFFER, ET AL",person,3,2001,2012,3
"BURNETT, ET AL",person,3,2011,2015,3
"BURNS, ET AL",person,3,1998,2019,3
"CHU, ET AL",person,3,2001,2003,3
"CLARK, ET AL",person,3,1992,2019,3
"COHEN, ET AL",person,3,2016,2018,3
"JOHN GALT ENTERTAINMENT, INC.",person,3,2007,2008,4
WILLETTE,person,2,2003,2006,1
WINFIELD,person,2,1995,1996,1
WISE,person,2,1999,1999,1
WODARCZYK,person,2,2014,2015,1
WOLTERS,person,2,2006,2007,1
WOODARD,person,2,1996,2005,1
JOHN DOE,person,2,1990,1991,2
"JOHN DURANT PHOTOGRAPHER, LLC",person,2,2018,2018,4
JOHN F. CRANE,person,2,1990,1992,3
"""DOE""",person,2,2005,2005,1
"""JOHN DOES""",person,2,2008,2008,2
"""JOHN DOES"" I THROUGH V, ET AL",person,2,2010,2011,7
""" HAL"" TURNER",person,1,2008,2008,3
JOHN C BUMMOE,person,1,1995,1995,3
JOHN C SCOTT,person,1,1998,1998,3
JOHN C. BOLAND & CO.,person,1,1994,1994,5
JOHN CANNON CONSTR.,person,1,1998,1998,3
JOHN D. SAYER & CO,person,1,1995,1995,5
JOHN DAVID FURN,person,1,1989,1989,3
"JOHN DEAN BUSH, ET AL",person,1,2003,2003,5
JOHN DOE CO.,person,1,1992,1992,3
"JOHN G ZIMMERMAN ARCHIV, ET AL",person,1,2014,2014,6
"""JOHN DOE NOS. 1-25"", ET AL",person,1,2002,2002,6
"""JOHN DOE""",person,1,1991,1991,2
"""JOHN DOE""  NOS. 1-10, ET AL",person,1,2011,2011,7
"""JOHN DOE"" AND ""JANE DOE""",person,1,1991,1991,5
"""JOHN DOE"", ET AL",person,1,1999,1999,4
JONES ETAL,person,1,1990,1990,2
JONES JR.,person,1,2099,2099,2
"JONES SPACELINK LTD, ET AL",person,1,1993,1993,5
"JONES WALKER, L.L.P., ET AL",person,1,2016,2016,5
"RICHTER, ET AL",person,1,2001,2001,3
"RICKERT, ET AL",person,1,2015,2015,3
"RIDEN, ET AL",person,1,1994,1994,3
"RILEY, ET AL",person,1,2014,2014,3
"SMITH , ET AL",person,1,2020,2020,4
BROADCAST MUSIC INC.,organization,65,1988,2016,3
"MANNY FILM, LLC",organization,65,2015,2016,3
"K-BEECH, INC.",organization,62,2011,2014,2
"AFFORDABLE AERIAL PHOTOGRAPHY,",organization,62,2015,2099,3
UNITED FABRICS INTERNATIONAL I,organization,62,2008,2019,4
"ELEKTRA ENTERTAINMENT G, ET AL",organization,62,2007,2010,5
TOP RANK INC,organization,61,1994,2003,3
"CLEAR SKIES NEVADA, LLC",organization,61,2016,2018,4
"SAILOR MUSIC, ET AL",organization,61,1991,2011,4
"BROADCAST MUSIC INC., ET AL",organization,60,1990,2021,5
MICROSOFT CORPORATIO,organization,59,1996,2006,2
THAT'S ENTERTAINMENT,organization,59,1992,1997,2
ADLIFE MARKETING & COMMUNICATI,organization,59,2017,2099,4
WARNER BROS ENTERTAINMENT INC,organization,59,2005,2013,4
"UN4 PRODUCTIONS, INC.",organization,57,2017,2019,3
SONY MUSIC ENTERTAINMENT INC.,organization,57,2004,2005,4
"PARAMOUNT PICTURES, ET AL",organization,56,1991,2006,4
"KLAUBER BROTHERS, INC.",organization,55,2005,2099,3
STANDARD FABRICS INTERNATIONAL,organization,55,2014,2099,3
"EMI APRIL MUSIC INC., ET AL",organization,55,1991,2017,6
"FAMEFLYNET, INC.",organization,54,2015,2019,2
UNDER SEAL,organization,54,1988,2004,2
